year,etype,event_group,sex,sex_group,median_days,lower_quartile_days,upper_quartile_days,display_median,display_lower,display_upper,suppression_status,period_status,coverage_end
2010,Stroke,Stroke,Female,Female,3,1,8,3.0,1.0,8.0,none,complete,2024-01-31
2010,Stroke,Stroke,Male,Male,5,1,11,5.0,1.0,11.0,none,complete,2024-01-31
2010,AMI,AMI,Female,Female,7,5,10,7.0,5.0,10.0,none,complete,2024-01-31
2010,AMI,AMI,Male,Male,7,5,9,7.0,5.0,9.0,none,complete,2024-01-31
2011,Stroke,Stroke,Female,Female,4,1,9,4.0,1.0,9.0,none,complete,2024-01-31
2011,Stroke,Stroke,Male,Male,5,2,12,5.0,2.0,12.0,none,complete,2024-01-31
2011,AMI,AMI,Female,Female,6,5,11,6.0,5.0,11.0,none,complete,2024-01-31
2011,AMI,AMI,Male,Male,5,5,8,5.0,5.0,8.0,none,complete,2024-01-31
2012,Stroke,Stroke,Female,Female,7,2,13.5,7.0,2.0,13.5,none,complete,2024-01-31
2012,Stroke,Stroke,Male,Male,6,2,11,6.0,2.0,11.0,none,complete,2024-01-31
2012,AMI,AMI,Female,Female,7,4,10,7.0,4.0,10.0,none,complete,2024-01-31
2012,AMI,AMI,Male,Male,6,5,8,6.0,5.0,8.0,none,complete,2024-01-31
2013,Stroke,Stroke,Female,Female,7.5,4,15,7.5,4.0,15.0,none,complete,2024-01-31
2013,Stroke,Stroke,Male,Male,7,3,14,7.0,3.0,14.0,none,complete,2024-01-31
2013,AMI,AMI,Female,Female,7,6,11.5,7.0,6.0,11.5,none,complete,2024-01-31
2013,AMI,AMI,Male,Male,6,5,8,6.0,5.0,8.0,none,complete,2024-01-31
2014,Stroke,Stroke,Female,Female,5,2,14,5.0,2.0,14.0,none,complete,2024-01-31
2014,Stroke,Stroke,Male,Male,6,2,15.5,6.0,2.0,15.5,none,complete,2024-01-31
2014,AMI,AMI,Female,Female,5,4,7,5.0,4.0,7.0,none,complete,2024-01-31
2014,AMI,AMI,Male,Male,5,4,7,5.0,4.0,7.0,none,complete,2024-01-31
2015,Stroke,Stroke,Female,Female,5,2,11,5.0,2.0,11.0,none,complete,2024-01-31
2015,Stroke,Stroke,Male,Male,6,2,14,6.0,2.0,14.0,none,complete,2024-01-31
2015,AMI,AMI,Female,Female,6,4,8,6.0,4.0,8.0,none,complete,2024-01-31
2015,AMI,AMI,Male,Male,6,4,8,6.0,4.0,8.0,none,complete,2024-01-31
2016,Stroke,Stroke,Female,Female,6,1,16,6.0,1.0,16.0,none,complete,2024-01-31
2016,Stroke,Stroke,Male,Male,5,1,11,5.0,1.0,11.0,none,complete,2024-01-31
2016,AMI,AMI,Female,Female,6,4.5,9,6.0,4.5,9.0,none,complete,2024-01-31
2016,AMI,AMI,Male,Male,6,5,8,6.0,5.0,8.0,none,complete,2024-01-31
2017,Stroke,Stroke,Female,Female,6,1,13,6.0,1.0,13.0,none,complete,2024-01-31
2017,Stroke,Stroke,Male,Male,9,3,20,9.0,3.0,20.0,none,complete,2024-01-31
2017,AMI,AMI,Female,Female,7,5,10.5,7.0,5.0,10.5,none,complete,2024-01-31
2017,AMI,AMI,Male,Male,6,4,9,6.0,4.0,9.0,none,complete,2024-01-31
2018,Stroke,Stroke,Female,Female,6,1,16,6.0,1.0,16.0,none,complete,2024-01-31
