indicator,etype,yoe,los50,los25,los75,los05,los95,nevent,exdays
1,Stroke,2014,6,2,15,1,58,476,0
2,Stroke,2015,6,2,13,1,46,474,0
3,Stroke,2016,6,2,15,1,42.5,560,0
4,Stroke,2017,6,2,15,1,47,542,0
5,Stroke,2018,7,2,18,1,54,548,548
6,Stroke,2019,8,3,17,1,50,617,1234
7,Stroke,2020,7,3,17,1,47,562,562
8,Stroke,2021,8,3,18,1,47,505,1010
9,Stroke,2022,9,3,18,1,46,518,1554
10,Stroke,2023,9,3,18,1,44,553,1659
11,AMI,2014,5,4,8,3,39,168,0
12,AMI,2015,6,4,8,3,23,171,171
13,AMI,2016,6,4,8,1,23,217,217
14,AMI,2017,6,4,10,1,22,278,278
15,AMI,2018,6,4,9,1,24,257,257
16,AMI,2019,6,4,9,1,24,311,311
17,AMI,2020,5,3,8,1,25,290,0
18,AMI,2021,5,3,8,1,17,192,0
19,AMI,2022,6,3,9,1,22,215,215
20,AMI,2023,6,4,9,1,15,230,230
