etype,woe,eventbase,ceventbase,event,cevent,cases_diff_cum
Stroke,1,12.6,12.6,12,12,-.60000038
Stroke,2,10.8,23.4,18,30,6.6000004
Stroke,3,9.4,32.799999,18,48,15.200001
Stroke,4,12,44.799999,15,63,18.200001
Stroke,5,15.4,60.200001,11,74,13.799999
Stroke,6,12.8,73,15,89,16
Stroke,7,15,88,13,102,14
Stroke,8,11,99,12,114,15
Stroke,9,11.6,110.6,12,126,15.400002
Stroke,10,9,119.6,12,138,18.400002
Stroke,11,9.800000000000001,129.39999,8,146,16.600006
Stroke,12,12.4,141.8,9,155,13.199997
Stroke,13,8.199999999999999,150,7,162,12
Stroke,14,11,161,15,177,16
Stroke,15,12.6,173.60001,9,186,12.399994
Stroke,16,10.2,183.8,13,199,15.199997
Stroke,17,9.4,193.2,14,213,19.800003
Stroke,18,12.2,205.39999,17,230,24.600006
Stroke,19,10.8,216.2,15,245,28.800003
Stroke,20,11.2,227.39999,12,257,29.600006
Stroke,21,11.2,238.60001,15,272,33.399994
Stroke,22,10.8,249.39999,18,290,40.600006
Stroke,23,10.4,259.79999,12,302,42.200012
Stroke,24,9,268.79999,14,316,47.200012
Stroke,25,11,279.79999,7,323,43.200012
Stroke,26,9.800000000000001,289.60001,12,335,45.399994
Stroke,27,12.6,302.20001,13,348,45.799988
Stroke,28,10.6,312.79999,13,361,48.200012
Stroke,29,9.6,322.39999,15,376,53.600006
Stroke,30,11.8,334.20001,8,384,49.799988
Stroke,31,11.2,345.39999,16,400,54.600006
Stroke,32,13,358.39999,12,412,53.600006
Stroke,33,8,366.39999,7,419,52.600006
Stroke,34,14.2,380.60001,13,432,51.399994
Stroke,35,10.4,391,10,442,51
Stroke,36,10.8,401.79999,10,452,50.200012
Stroke,37,10,411.79999,12,464,52.200012
Stroke,38,11,422.79999,12,476,53.200012
Stroke,39,11.4,434.20001,10,486,51.799988
Stroke,40,10.4,444.60001,9,495,50.399994
Stroke,41,12.4,457,7,502,45
Stroke,42,8.199999999999999,465.20001,14,516,50.799988
Stroke,43,7.8,473,4,520,47
Stroke,44,9.800000000000001,482.79999,7,527,44.200012
Stroke,45,9.6,492.39999,7,534,41.600006
Stroke,46,10.2,502.60001,9,543,40.399994
Stroke,47,11,513.59998,16,559,45.400024
Stroke,48,10.4,524,13,572,48
Stroke,49,8.6,532.59998,13,585,52.400024
Stroke,50,11,543.59998,16,601,57.400024
Stroke,51,11.4,555,10,611,56
Stroke,52,11.6,566.59998,13,624,57.400024
AMI,1,5,5,5,5,0
AMI,2,2.2,7.1999998,8,13,5.8000002
AMI,3,3.6,10.8,3,16,5.1999998
AMI,4,5,15.8,5,21,5.1999998
AMI,5,6,21.799999,5,26,4.2000008
AMI,6,5,26.799999,3,29,2.2000008
AMI,7,6.2,33,5,34,1
AMI,8,5.2,38.200001,2,36,-2.2000008
AMI,9,6,44.200001,2,38,-6.2000008
AMI,10,3.8,48,4,42,-6
AMI,11,6.6,54.599998,5,47,-7.5999985
AMI,12,4.6,59.200001,4,51,-8.2000008
AMI,13,4.4,63.599998,5,56,-7.5999985
AMI,14,4.6,68.199997,5,61,-7.1999969
AMI,15,5.4,73.599998,5,66,-7.5999985
AMI,16,5.6,79.199997,7,73,-6.1999969
AMI,17,7.4,86.599998,1,74,-12.599998
AMI,18,5.2,91.800003,11,85,-6.8000031
AMI,19,5,96.800003,3,88,-8.8000031
AMI,20,6.6,103.4,4,92,-11.400002
AMI,21,6.8,110.2,4,96,-14.199997
AMI,22,5.6,115.8,3,99,-16.800003
AMI,23,3.8,119.6,7,106,-13.599998
AMI,24,4.6,124.2,1,107,-17.199997
AMI,25,4.8,129,7,114,-15
AMI,26,5.6,134.60001,4,118,-16.600006
AMI,27,6,140.60001,5,123,-17.600006
AMI,28,6,146.60001,2,125,-21.600006
AMI,29,5.8,152.39999,5,130,-22.399994
AMI,30,3.4,155.8,6,136,-19.800003
AMI,31,6,161.8,3,139,-22.800003
AMI,32,4.2,166,6,145,-21
AMI,33,5.4,171.39999,4,149,-22.399994
AMI,34,3.2,174.60001,5,154,-20.600006
AMI,35,4.2,178.8,4,158,-20.800003
AMI,36,4.6,183.39999,3,161,-22.399994
AMI,37,4.4,187.8,3,164,-23.800003
AMI,38,7,194.8,6,170,-24.800003
AMI,39,5.2,200,2,172,-28
AMI,40,6,206,7,179,-27
AMI,41,3,209,5,184,-25
AMI,42,5.4,214.39999,6,190,-24.399994
AMI,43,4.8,219.2,5,195,-24.199997
AMI,44,3.6,222.8,8,203,-19.800003
AMI,45,5.6,228.39999,3,206,-22.399994
AMI,46,5.8,234.2,5,211,-23.199997
AMI,47,4.2,238.39999,8,219,-19.399994
AMI,48,5.6,244,7,226,-18
AMI,49,4.4,248.39999,7,233,-15.399994
AMI,50,3.2,251.60001,3,236,-15.600006
AMI,51,3.6,255.2,4,240,-15.199997
AMI,52,4.8,260,6,246,-14
