metric_id,release_id,period_type,period,period_start,period_year,period_month,event_type,sex,age_group,age_group_order,source_status,statistic,value,unit,numerator,denominator,comparison_n,status_flag
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,all,all,0,hospital_registered,annual_count,555,count,555,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,all,under_45,1,hospital_registered,annual_count,34,count,34,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,all,45_54,2,hospital_registered,annual_count,80,count,80,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,all,55_64,3,hospital_registered,annual_count,93,count,93,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,all,65_74,4,hospital_registered,annual_count,105,count,105,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,all,75_84,5,hospital_registered,annual_count,144,count,144,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,all,85_plus,6,hospital_registered,annual_count,99,count,99,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,female,all,0,hospital_registered,annual_count,286,count,286,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,female,under_45,1,hospital_registered,annual_count,14,count,14,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,female,45_54,2,hospital_registered,annual_count,27,count,27,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,female,55_64,3,hospital_registered,annual_count,41,count,41,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,female,65_74,4,hospital_registered,annual_count,50,count,50,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,female,75_84,5,hospital_registered,annual_count,86,count,86,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,female,85_plus,6,hospital_registered,annual_count,68,count,68,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,male,all,0,hospital_registered,annual_count,269,count,269,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,male,under_45,1,hospital_registered,annual_count,20,count,20,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,male,45_54,2,hospital_registered,annual_count,53,count,53,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,male,55_64,3,hospital_registered,annual_count,52,count,52,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,male,65_74,4,hospital_registered,annual_count,55,count,55,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,male,75_84,5,hospital_registered,annual_count,58,count,58,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,all_cvd,male,85_plus,6,hospital_registered,annual_count,31,count,31,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,all,all,0,hospital_registered,annual_count,126,count,126,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,all,under_45,1,hospital_registered,annual_count,8,count,8,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,all,45_54,2,hospital_registered,annual_count,22,count,22,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,all,55_64,3,hospital_registered,annual_count,30,count,30,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,all,65_74,4,hospital_registered,annual_count,23,count,23,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,all,75_84,5,hospital_registered,annual_count,29,count,29,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,all,85_plus,6,hospital_registered,annual_count,14,count,14,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,female,all,0,hospital_registered,annual_count,60,count,60,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,female,under_45,1,hospital_registered,annual_count,4,count,4,,,low_count
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,female,45_54,2,hospital_registered,annual_count,5,count,5,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,female,55_64,3,hospital_registered,annual_count,12,count,12,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,female,65_74,4,hospital_registered,annual_count,13,count,13,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,female,75_84,5,hospital_registered,annual_count,17,count,17,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,ami,female,85_plus,6,hospital_registered,annual_count,9,count,9,,,final
