schema_version,metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,source_status,ascertainment_scope,mortality_definition,estimate_basis,statistic,value,unit,numerator,denominator,linkage_lower_value,linkage_upper_value,ci_lower_value,ci_upper_value,ci_level,ci_method,comparison_n,status_flag,method_version,population_source,country_iso3,population_unit,population_extraction_date,population_basis,standard_population,suppression_status,disclosure_note,display_value
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q4,2010-10-01,2010,10,4,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,150,count,150,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,150.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m02,2010-02-01,2010,2,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,52,count,52,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,52.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m01,2010-01-01,2010,1,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,60,count,60,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,60.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m03,2010-03-01,2010,3,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,54,count,54,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,54.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,additional_dco,inclusive,estimated,annual_count,74.36241610738256,count,74.36241610738256,,20,425,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,74.362
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q1,2010-01-01,2010,1,1,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,166,count,166,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,166.000
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_standardised,national_estimate,hospital_plus_dco,primary,estimated,annual_age_standardised_rate,155.827955980047,rate_per_100000,,,145.8933480824518,223.7144432802808,143.5727511022449,169.1167656623697,95,conditional_fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,155.828
bnr_cvd_public_metric_v2,CVD-BURDEN-002,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_70_plus,hospital_registered,hospital_only,not_applicable,observed,age_distribution,52.97297297297298,percent,294,555,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,52.973
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_standardised,hospital_registered,hospital_only,not_applicable,observed,annual_age_standardised_rate,141.6226782240344,rate_per_100000,,,,,129.9174086481031,154.3662902652541,95,fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,141.623
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m06,2010-06-01,2010,6,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,39,count,39,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,39.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m11,2010-11-01,2010,11,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,50,count,50,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,50.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_70_plus,hospital_registered,hospital_only,not_applicable,observed,annual_count,294,count,294,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,294.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q3,2010-07-01,2010,7,3,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,126,count,126,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,126.000
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,annual_crude_rate,201.6396390832118,rate_per_100000,555,275243.5,,,185.2107813361237,219.1350601813797,95,poisson_exact_garwood,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,201.640
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m07,2010-07-01,2010,7,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,43,count,43,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,43.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m08,2010-08-01,2010,8,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,39,count,39,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,39.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m09,2010-09-01,2010,9,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,44,count,44,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,44.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m05,2010-05-01,2010,5,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,46,count,46,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,46.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,additional_dco,primary,estimated,annual_count,59.87234042553191,count,59.87234042553191,,18,346.0000000000001,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,59.872
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m12,2010-12-01,2010,12,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,58,count,58,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,58.000
bnr_cvd_public_metric_v2,CVD-BURDEN-002,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,under_70,hospital_registered,hospital_only,not_applicable,observed,age_distribution,47.02702702702703,percent,261,555,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,47.027
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,228.6565953809563,rate_per_100000,629.3624161073826,275243.5,208.9059323835077,356.0483717145,211.1390486492939,247.23979584804,95,conditional_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,228.657
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,hospital_plus_dco,primary,estimated,annual_crude_rate,223.3921383885657,rate_per_100000,614.8723404255319,275243.5,208.1793030534781,327.3465131783312,206.0814638487644,241.7686309348786,95,conditional_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,223.392
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,quarterly,2010_q2,2010-04-01,2010,4,2,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,113,count,113,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,113.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,under_70,hospital_registered,hospital_only,not_applicable,observed,annual_count,261,count,261,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,261.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m04,2010-04-01,2010,4,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,28,count,28,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,28.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,hospital_plus_dco,primary,estimated,annual_count,614.8723404255319,count,614.8723404255319,,573,901,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,No disclosure restriction identified.,614.872
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2024_05,monthly,2010_m10,2010-10-01,2010,10,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,42,count,42,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,42.000
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_05,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,159.1068083131343,rate_per_100000,,,146.3250886631606,241.5489000554654,146.7349610775854,172.5107366217404,95,conditional_fay_feuer_gamma,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,159.107
