schema_version,metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,source_status,ascertainment_scope,mortality_definition,estimate_basis,statistic,value,linkage_lower_value,linkage_upper_value,unit,numerator,denominator,comparison_n,status_flag,method_version,population_source,country_iso3,population_unit,population_extraction_date,population_basis,standard_population,suppression_status,disclosure_note,display_value
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,stroke,all,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,177.4755563295431,161.6750259315842,279.3889773963781,rate_per_100000,488.4899328859061,275243.5,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,177.476
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,228.6565953809563,208.9059323835077,356.0483717145,rate_per_100000,629.3624161073826,275243.5,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,228.657
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,159.1068083131344,146.3250886631605,241.5489000554654,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,159.107
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,stroke,all,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,122.7864553219425,112.5830777479709,188.5982406740588,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,122.786
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,heart,all,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,,,,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,heart,all,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,,,,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,heart,female,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,,,,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,stroke,female,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,109.3546435225796,99.03125228015099,175.9405170362443,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,109.355
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,all_cvd,female,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,139.1833697405829,126.537388254012,220.7499503289655,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,139.183
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,heart,female,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,,,,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,stroke,female,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,185.6503718644452,164.8529365733544,319.7938294919817,rate_per_100000,266.8993288590604,143764.5,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,185.650
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,232.5578084087509,207.9790212465525,391.0909856049303,rate_per_100000,334.3355704697987,143764.5,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,232.558
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,heart,male,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,,,,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,stroke,male,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,,,,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,heart,male,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,,,,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,stroke,male,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,,,,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,primary,Primary suppression: supporting frequency 1-5.,*
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,all_cvd,male,age_standardised,national_estimate,hospital_plus_dco,inclusive,estimated,annual_age_standardised_rate,183.7374990110902,170.5468226271232,268.8173616876775,rate_per_100000,,,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,183.737
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2024_04,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_crude_rate,224.3908499742042,209.9194548178797,317.7313487324972,rate_per_100000,295.0268456375839,131479,,final,cvd_rates_v1_0_7,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,224.391
