year,etype,event_group,sex,sex_group,event_count,display_count,suppression_status,period_status,coverage_end
2010,Stroke,Stroke,Female,Female,321,321,none,complete,2024-01-31
2010,Stroke,Stroke,Male,Male,260,260,none,complete,2024-01-31
2010,Stroke,Stroke,Total,Total,581,581,none,complete,2024-01-31
2010,AMI,AMI,Female,Female,179,179,none,complete,2024-01-31
2010,AMI,AMI,Male,Male,165,165,none,complete,2024-01-31
2010,AMI,AMI,Total,Total,344,344,none,complete,2024-01-31
2010,All CVD,All CVD,Female,Female,500,500,none,complete,2024-01-31
2010,All CVD,All CVD,Male,Male,425,425,none,complete,2024-01-31
2010,All CVD,All CVD,Total,Total,925,925,none,complete,2024-01-31
2011,Stroke,Stroke,Female,Female,302,302,none,complete,2024-01-31
2011,Stroke,Stroke,Male,Male,261,261,none,complete,2024-01-31
2011,Stroke,Stroke,Total,Total,563,563,none,complete,2024-01-31
2011,AMI,AMI,Female,Female,126,126,none,complete,2024-01-31
2011,AMI,AMI,Male,Male,168,168,none,complete,2024-01-31
2011,AMI,AMI,Total,Total,294,294,none,complete,2024-01-31
2011,All CVD,All CVD,Female,Female,428,428,none,complete,2024-01-31
2011,All CVD,All CVD,Male,Male,429,429,none,complete,2024-01-31
2011,All CVD,All CVD,Total,Total,857,857,none,complete,2024-01-31
2012,Stroke,Stroke,Female,Female,321,321,none,complete,2024-01-31
2012,Stroke,Stroke,Male,Male,257,257,none,complete,2024-01-31
2012,Stroke,Stroke,Total,Total,578,578,none,complete,2024-01-31
2012,AMI,AMI,Female,Female,201,201,none,complete,2024-01-31
2012,AMI,AMI,Male,Male,203,203,none,complete,2024-01-31
2012,AMI,AMI,Total,Total,404,404,none,complete,2024-01-31
2012,All CVD,All CVD,Female,Female,522,522,none,complete,2024-01-31
2012,All CVD,All CVD,Male,Male,460,460,none,complete,2024-01-31
2012,All CVD,All CVD,Total,Total,982,982,none,complete,2024-01-31
2013,Stroke,Stroke,Female,Female,367,367,none,complete,2024-01-31
2013,Stroke,Stroke,Male,Male,327,327,none,complete,2024-01-31
2013,Stroke,Stroke,Total,Total,694,694,none,complete,2024-01-31
2013,AMI,AMI,Female,Female,161,161,none,complete,2024-01-31
2013,AMI,AMI,Male,Male,191,191,none,complete,2024-01-31
2013,AMI,AMI,Total,Total,352,352,none,complete,2024-01-31
2013,All CVD,All CVD,Female,Female,528,528,none,complete,2024-01-31
2013,All CVD,All CVD,Male,Male,518,518,none,complete,2024-01-31
2013,All CVD,All CVD,Total,Total,1046,"1,046",none,complete,2024-01-31
2014,Stroke,Stroke,Female,Female,316,316,none,complete,2024-01-31
2014,Stroke,Stroke,Male,Male,268,268,none,complete,2024-01-31
2014,Stroke,Stroke,Total,Total,584,584,none,complete,2024-01-31
2014,AMI,AMI,Female,Female,190,190,none,complete,2024-01-31
2014,AMI,AMI,Male,Male,220,220,none,complete,2024-01-31
2014,AMI,AMI,Total,Total,410,410,none,complete,2024-01-31
2014,All CVD,All CVD,Female,Female,506,506,none,complete,2024-01-31
2014,All CVD,All CVD,Male,Male,488,488,none,complete,2024-01-31
2014,All CVD,All CVD,Total,Total,994,994,none,complete,2024-01-31
2015,Stroke,Stroke,Female,Female,319,319,none,complete,2024-01-31
2015,Stroke,Stroke,Male,Male,267,267,none,complete,2024-01-31
2015,Stroke,Stroke,Total,Total,586,586,none,complete,2024-01-31
2015,AMI,AMI,Female,Female,157,157,none,complete,2024-01-31
2015,AMI,AMI,Male,Male,169,169,none,complete,2024-01-31
2015,AMI,AMI,Total,Total,326,326,none,complete,2024-01-31
2015,All CVD,All CVD,Female,Female,476,476,none,complete,2024-01-31
2015,All CVD,All CVD,Male,Male,436,436,none,complete,2024-01-31
2015,All CVD,All CVD,Total,Total,912,912,none,complete,2024-01-31
2016,Stroke,Stroke,Female,Female,393,393,none,complete,2024-01-31
2016,Stroke,Stroke,Male,Male,330,330,none,complete,2024-01-31
2016,Stroke,Stroke,Total,Total,723,723,none,complete,2024-01-31
2016,AMI,AMI,Female,Female,189,189,none,complete,2024-01-31
2016,AMI,AMI,Male,Male,250,250,none,complete,2024-01-31
2016,AMI,AMI,Total,Total,439,439,none,complete,2024-01-31
2016,All CVD,All CVD,Female,Female,582,582,none,complete,2024-01-31
2016,All CVD,All CVD,Male,Male,580,580,none,complete,2024-01-31
2016,All CVD,All CVD,Total,Total,1162,"1,162",none,complete,2024-01-31
2017,Stroke,Stroke,Female,Female,348,348,none,complete,2024-01-31
2017,Stroke,Stroke,Male,Male,302,302,none,complete,2024-01-31
2017,Stroke,Stroke,Total,Total,650,650,none,complete,2024-01-31
2017,AMI,AMI,Female,Female,214,214,none,complete,2024-01-31
2017,AMI,AMI,Male,Male,253,253,none,complete,2024-01-31
2017,AMI,AMI,Total,Total,467,467,none,complete,2024-01-31
2017,All CVD,All CVD,Female,Female,562,562,none,complete,2024-01-31
2017,All CVD,All CVD,Male,Male,555,555,none,complete,2024-01-31
2017,All CVD,All CVD,Total,Total,1117,"1,117",none,complete,2024-01-31
2018,Stroke,Stroke,Female,Female,355,355,none,complete,2024-01-31
2018,Stroke,Stroke,Male,Male,327,327,none,complete,2024-01-31
2018,Stroke,Stroke,Total,Total,682,682,none,complete,2024-01-31
2018,AMI,AMI,Female,Female,214,214,none,complete,2024-01-31
2018,AMI,AMI,Male,Male,269,269,none,complete,2024-01-31
2018,AMI,AMI,Total,Total,483,483,none,complete,2024-01-31
2018,All CVD,All CVD,Female,Female,569,569,none,complete,2024-01-31
2018,All CVD,All CVD,Male,Male,596,596,none,complete,2024-01-31
2018,All CVD,All CVD,Total,Total,1165,"1,165",none,complete,2024-01-31
2019,Stroke,Stroke,Female,Female,396,396,none,complete,2024-01-31
2019,Stroke,Stroke,Male,Male,362,362,none,complete,2024-01-31
2019,Stroke,Stroke,Total,Total,758,758,none,complete,2024-01-31
2019,AMI,AMI,Female,Female,276,276,none,complete,2024-01-31
2019,AMI,AMI,Male,Male,271,271,none,complete,2024-01-31
2019,AMI,AMI,Total,Total,547,547,none,complete,2024-01-31
2019,All CVD,All CVD,Female,Female,672,672,none,complete,2024-01-31
2019,All CVD,All CVD,Male,Male,633,633,none,complete,2024-01-31
2019,All CVD,All CVD,Total,Total,1305,"1,305",none,complete,2024-01-31
2020,Stroke,Stroke,Female,Female,364,364,none,complete,2024-01-31
2020,Stroke,Stroke,Male,Male,335,335,none,complete,2024-01-31
2020,Stroke,Stroke,Total,Total,699,699,none,complete,2024-01-31
2020,AMI,AMI,Female,Female,262,262,none,complete,2024-01-31
2020,AMI,AMI,Male,Male,285,285,none,complete,2024-01-31
2020,AMI,AMI,Total,Total,547,547,none,complete,2024-01-31
2020,All CVD,All CVD,Female,Female,626,626,none,complete,2024-01-31
2020,All CVD,All CVD,Male,Male,620,620,none,complete,2024-01-31
2020,All CVD,All CVD,Total,Total,1246,"1,246",none,complete,2024-01-31
2021,Stroke,Stroke,Female,Female,357,357,none,complete,2024-01-31
2021,Stroke,Stroke,Male,Male,334,334,none,complete,2024-01-31
2021,Stroke,Stroke,Total,Total,691,691,none,complete,2024-01-31
2021,AMI,AMI,Female,Female,222,222,none,complete,2024-01-31
2021,AMI,AMI,Male,Male,245,245,none,complete,2024-01-31
2021,AMI,AMI,Total,Total,467,467,none,complete,2024-01-31
2021,All CVD,All CVD,Female,Female,579,579,none,complete,2024-01-31
2021,All CVD,All CVD,Male,Male,579,579,none,complete,2024-01-31
2021,All CVD,All CVD,Total,Total,1158,"1,158",none,complete,2024-01-31
2022,Stroke,Stroke,Female,Female,384,384,none,complete,2024-01-31
2022,Stroke,Stroke,Male,Male,384,384,none,complete,2024-01-31
2022,Stroke,Stroke,Total,Total,768,768,none,complete,2024-01-31
2022,AMI,AMI,Female,Female,257,257,none,complete,2024-01-31
2022,AMI,AMI,Male,Male,313,313,none,complete,2024-01-31
2022,AMI,AMI,Total,Total,570,570,none,complete,2024-01-31
2022,All CVD,All CVD,Female,Female,641,641,none,complete,2024-01-31
2022,All CVD,All CVD,Male,Male,697,697,none,complete,2024-01-31
2022,All CVD,All CVD,Total,Total,1338,"1,338",none,complete,2024-01-31
2023,Stroke,Stroke,Female,Female,407,407,none,complete,2024-01-31
2023,Stroke,Stroke,Male,Male,396,396,none,complete,2024-01-31
2023,Stroke,Stroke,Total,Total,803,803,none,complete,2024-01-31
2023,AMI,AMI,Female,Female,267,267,none,complete,2024-01-31
2023,AMI,AMI,Male,Male,297,297,none,complete,2024-01-31
2023,AMI,AMI,Total,Total,564,564,none,complete,2024-01-31
2023,All CVD,All CVD,Female,Female,674,674,none,complete,2024-01-31
2023,All CVD,All CVD,Male,Male,693,693,none,complete,2024-01-31
2023,All CVD,All CVD,Total,Total,1367,"1,367",none,complete,2024-01-31
2024,Stroke,Stroke,Female,Female,28,28,none,year_to_date,2024-01-31
2024,Stroke,Stroke,Male,Male,21,21,none,year_to_date,2024-01-31
2024,Stroke,Stroke,Total,Total,49,49,none,year_to_date,2024-01-31
2024,AMI,AMI,Female,Female,,Suppressed,primary,year_to_date,2024-01-31
2024,AMI,AMI,Male,Male,,Suppressed,secondary,year_to_date,2024-01-31
2024,AMI,AMI,Total,Total,16,16,none,year_to_date,2024-01-31
2024,All CVD,All CVD,Female,Female,,Suppressed,secondary,year_to_date,2024-01-31
2024,All CVD,All CVD,Male,Male,,Suppressed,secondary,year_to_date,2024-01-31
2024,All CVD,All CVD,Total,Total,65,65,none,year_to_date,2024-01-31
