year,month,etype,event_group,event_count,display_count,suppression_status,cell_available,period_status,coverage_end
2010,1,Stroke,Stroke,51,51,none,1,complete,2024-01-31
2010,1,AMI,AMI,36,36,none,1,complete,2024-01-31
2010,1,All CVD,All CVD,87,87,none,1,complete,2024-01-31
2010,2,Stroke,Stroke,55,55,none,1,complete,2024-01-31
2010,2,AMI,AMI,21,21,none,1,complete,2024-01-31
2010,2,All CVD,All CVD,76,76,none,1,complete,2024-01-31
2010,3,Stroke,Stroke,55,55,none,1,complete,2024-01-31
2010,3,AMI,AMI,26,26,none,1,complete,2024-01-31
2010,3,All CVD,All CVD,81,81,none,1,complete,2024-01-31
2010,4,Stroke,Stroke,31,31,none,1,complete,2024-01-31
2010,4,AMI,AMI,30,30,none,1,complete,2024-01-31
2010,4,All CVD,All CVD,61,61,none,1,complete,2024-01-31
2010,5,Stroke,Stroke,57,57,none,1,complete,2024-01-31
2010,5,AMI,AMI,22,22,none,1,complete,2024-01-31
2010,5,All CVD,All CVD,79,79,none,1,complete,2024-01-31
2010,6,Stroke,Stroke,42,42,none,1,complete,2024-01-31
2010,6,AMI,AMI,23,23,none,1,complete,2024-01-31
2010,6,All CVD,All CVD,65,65,none,1,complete,2024-01-31
2010,7,Stroke,Stroke,43,43,none,1,complete,2024-01-31
2010,7,AMI,AMI,27,27,none,1,complete,2024-01-31
2010,7,All CVD,All CVD,70,70,none,1,complete,2024-01-31
2010,8,Stroke,Stroke,52,52,none,1,complete,2024-01-31
2010,8,AMI,AMI,25,25,none,1,complete,2024-01-31
2010,8,All CVD,All CVD,77,77,none,1,complete,2024-01-31
2010,9,Stroke,Stroke,47,47,none,1,complete,2024-01-31
2010,9,AMI,AMI,35,35,none,1,complete,2024-01-31
2010,9,All CVD,All CVD,82,82,none,1,complete,2024-01-31
2010,10,Stroke,Stroke,44,44,none,1,complete,2024-01-31
2010,10,AMI,AMI,27,27,none,1,complete,2024-01-31
2010,10,All CVD,All CVD,71,71,none,1,complete,2024-01-31
2010,11,Stroke,Stroke,44,44,none,1,complete,2024-01-31
2010,11,AMI,AMI,41,41,none,1,complete,2024-01-31
2010,11,All CVD,All CVD,85,85,none,1,complete,2024-01-31
2010,12,Stroke,Stroke,60,60,none,1,complete,2024-01-31
2010,12,AMI,AMI,31,31,none,1,complete,2024-01-31
2010,12,All CVD,All CVD,91,91,none,1,complete,2024-01-31
2011,1,Stroke,Stroke,43,43,none,1,complete,2024-01-31
2011,1,AMI,AMI,25,25,none,1,complete,2024-01-31
2011,1,All CVD,All CVD,68,68,none,1,complete,2024-01-31
2011,2,Stroke,Stroke,40,40,none,1,complete,2024-01-31
2011,2,AMI,AMI,14,14,none,1,complete,2024-01-31
2011,2,All CVD,All CVD,54,54,none,1,complete,2024-01-31
2011,3,Stroke,Stroke,53,53,none,1,complete,2024-01-31
2011,3,AMI,AMI,24,24,none,1,complete,2024-01-31
2011,3,All CVD,All CVD,77,77,none,1,complete,2024-01-31
2011,4,Stroke,Stroke,57,57,none,1,complete,2024-01-31
2011,4,AMI,AMI,24,24,none,1,complete,2024-01-31
2011,4,All CVD,All CVD,81,81,none,1,complete,2024-01-31
2011,5,Stroke,Stroke,46,46,none,1,complete,2024-01-31
2011,5,AMI,AMI,36,36,none,1,complete,2024-01-31
2011,5,All CVD,All CVD,82,82,none,1,complete,2024-01-31
2011,6,Stroke,Stroke,33,33,none,1,complete,2024-01-31
2011,6,AMI,AMI,21,21,none,1,complete,2024-01-31
2011,6,All CVD,All CVD,54,54,none,1,complete,2024-01-31
2011,7,Stroke,Stroke,47,47,none,1,complete,2024-01-31
2011,7,AMI,AMI,29,29,none,1,complete,2024-01-31
2011,7,All CVD,All CVD,76,76,none,1,complete,2024-01-31
2011,8,Stroke,Stroke,44,44,none,1,complete,2024-01-31
2011,8,AMI,AMI,29,29,none,1,complete,2024-01-31
2011,8,All CVD,All CVD,73,73,none,1,complete,2024-01-31
2011,9,Stroke,Stroke,53,53,none,1,complete,2024-01-31
2011,9,AMI,AMI,18,18,none,1,complete,2024-01-31
2011,9,All CVD,All CVD,71,71,none,1,complete,2024-01-31
2011,10,Stroke,Stroke,56,56,none,1,complete,2024-01-31
2011,10,AMI,AMI,26,26,none,1,complete,2024-01-31
2011,10,All CVD,All CVD,82,82,none,1,complete,2024-01-31
2011,11,Stroke,Stroke,44,44,none,1,complete,2024-01-31
2011,11,AMI,AMI,22,22,none,1,complete,2024-01-31
2011,11,All CVD,All CVD,66,66,none,1,complete,2024-01-31
2011,12,Stroke,Stroke,47,47,none,1,complete,2024-01-31
2011,12,AMI,AMI,26,26,none,1,complete,2024-01-31
2011,12,All CVD,All CVD,73,73,none,1,complete,2024-01-31
2012,1,Stroke,Stroke,52,52,none,1,complete,2024-01-31
2012,1,AMI,AMI,37,37,none,1,complete,2024-01-31
2012,1,All CVD,All CVD,89,89,none,1,complete,2024-01-31
2012,2,Stroke,Stroke,42,42,none,1,complete,2024-01-31
2012,2,AMI,AMI,31,31,none,1,complete,2024-01-31
2012,2,All CVD,All CVD,73,73,none,1,complete,2024-01-31
2012,3,Stroke,Stroke,46,46,none,1,complete,2024-01-31
2012,3,AMI,AMI,32,32,none,1,complete,2024-01-31
2012,3,All CVD,All CVD,78,78,none,1,complete,2024-01-31
2012,4,Stroke,Stroke,49,49,none,1,complete,2024-01-31
2012,4,AMI,AMI,37,37,none,1,complete,2024-01-31
2012,4,All CVD,All CVD,86,86,none,1,complete,2024-01-31
2012,5,Stroke,Stroke,58,58,none,1,complete,2024-01-31
