year,etype,event_group,sex,sex_group,dco,dco_group,crude,rateadj,lb_gam,ub_gam,display_crude,display_adjusted,display_lower,display_upper,suppression_status,period_status,coverage_end
2010,Stroke,Stroke,Male,Male,Without DCO,Without DCO,154.3972801740202,122.9362034089707,106.5449350766104,141.2687914795645,154.4,122.9,106.5,141.3,none,complete,2024-01-31
2010,Stroke,Stroke,Total,Total,Without DCO,Without DCO,155.8619912913475,108.1913188786487,98.05152157731582,119.1848964215667,155.9,108.2,98.1,119.2,none,complete,2024-01-31
2010,Stroke,Stroke,Female,Female,Without DCO,Without DCO,157.2015344539159,95.22107528394432,82.81920549957226,109.1923811472631,157.2,95.2,82.8,109.2,none,complete,2024-01-31
2010,Stroke,Stroke,Male,Male,DCO added,DCO added,197.7502110603214,158.394340007861,139.6350831549432,179.096744811409,197.8,158.4,139.6,179.1,none,complete,2024-01-31
2010,Stroke,Stroke,Total,Total,DCO added,DCO added,211.0858203735965,143.7644233562593,132.12321975658,156.2491969629968,211.1,143.8,132.1,156.2,none,complete,2024-01-31
2010,Stroke,Stroke,Female,Female,DCO added,DCO added,223.2818254854293,129.8496684490071,115.557535463334,145.670674307582,223.3,129.8,115.6,145.7,none,complete,2024-01-31
2010,AMI,AMI,Male,Male,Without DCO,Without DCO,50.19813049992774,39.87198621534205,30.80644052190146,50.92255099517249,50.2,39.9,30.8,50.9,none,complete,2024-01-31
2010,AMI,AMI,Female,Female,Without DCO,Without DCO,41.73492065148211,26.75184202337279,20.24767095361048,34.92614500862516,41.7,26.8,20.2,34.9,none,complete,2024-01-31
2010,AMI,AMI,Total,Total,Without DCO,Without DCO,45.7776477918643,32.85915690552349,27.30958800092504,39.29497804008098,45.8,32.9,27.3,39.3,none,complete,2024-01-31
2010,AMI,AMI,Total,Total,DCO added,DCO added,124.9802447650898,85.93946563238552,76.94679268718295,95.78687785050495,125.0,85.9,76.9,95.8,none,complete,2024-01-31
2010,AMI,AMI,Male,Male,DCO added,DCO added,125.4953262498194,100.2599160472321,85.45524376586366,117.0219957748503,125.5,100.3,85.5,117.0,none,complete,2024-01-31
2010,AMI,AMI,Female,Female,DCO added,DCO added,124.5091799435883,73.47882739794025,62.76159437695832,85.75626640864378,124.5,73.5,62.8,85.8,none,complete,2024-01-31
2011,Stroke,Stroke,Female,Female,Without DCO,Without DCO,139.4240607084269,86.95546423723086,74.9788887308999,100.5246996405145,139.4,87.0,75.0,100.5,none,complete,2024-01-31
2011,Stroke,Stroke,Total,Total,Without DCO,Without DCO,139.4225372004679,97.05979007455471,87.4604455808679,107.5140385982077,139.4,97.1,87.5,107.5,none,complete,2024-01-31
2011,Stroke,Stroke,Male,Male,Without DCO,Without DCO,139.4208729716725,109.3085073943427,94.00171469098375,126.539393332883,139.4,109.3,94.0,126.5,none,complete,2024-01-31
2011,Stroke,Stroke,Female,Female,DCO added,DCO added,209.482917084303,123.9554847073153,109.9031214692418,139.5487262115296,209.5,124.0,109.9,139.5,none,complete,2024-01-31
2011,Stroke,Stroke,Male,Male,DCO added,DCO added,197.7654774217746,155.3678741286371,136.9954970475608,175.6551294377963,197.8,155.4,137.0,175.7,none,complete,2024-01-31
2011,Stroke,Stroke,Total,Total,DCO added,DCO added,203.882827126918,138.7541265825785,127.3531522011403,150.9953473174922,203.9,138.8,127.4,151.0,none,complete,2024-01-31
2011,AMI,AMI,Male,Male,Without DCO,Without DCO,56.07143804295527,44.35043931181075,34.78166075918364,55.88866648617856,56.1,44.4,34.8,55.9,none,complete,2024-01-31
2011,AMI,AMI,Female,Female,Without DCO,Without DCO,31.2143419496478,20.73646207799785,15.01009087406779,28.1677409041896,31.2,20.7,15.0,28.2,none,complete,2024-01-31
2011,AMI,AMI,Total,Total,Without DCO,Without DCO,43.09423877105371,31.53769305279901,26.06863880346284,37.89981847793944,43.1,31.5,26.1,37.9,none,complete,2024-01-31
2011,AMI,AMI,Female,Female,DCO added,DCO added,87.40015745901384,50.74967043310149,41.96657566862606,61.09954094297363,87.4,50.7,42.0,61.1,none,complete,2024-01-31
2011,AMI,AMI,Total,Total,DCO added,DCO added,106.4681193167209,73.06141617994749,64.81493688998465,82.16076640476371,106.5,73.1,64.8,82.2,none,complete,2024-01-31
2011,AMI,AMI,Male,Male,DCO added,DCO added,127.2973188002228,101.0018207927442,86.22979119392035,117.7132665587071,127.3,101.0,86.2,117.7,none,complete,2024-01-31
2012,Stroke,Stroke,Male,Male,Without DCO,Without DCO,147.2587222473947,114.5591101876762,98.9573963227672,132.0683462974107,147.3,114.6,99.0,132.1,none,complete,2024-01-31
2012,Stroke,Stroke,Total,Total,Without DCO,Without DCO,143.3536447754457,97.49631427419126,88.0019900338465,107.8317464832457,143.4,97.5,88.0,107.8,none,complete,2024-01-31
2012,Stroke,Stroke,Female,Female,Without DCO,Without DCO,139.7754597194111,83.95837064708488,72.45366393155687,97.01942149169003,139.8,84.0,72.5,97.0,none,complete,2024-01-31
2012,Stroke,Stroke,Male,Male,DCO added,DCO added,194.0794441927201,150.3759183470155,132.4532459287673,170.193323093907,194.1,150.4,132.5,170.2,none,complete,2024-01-31
2012,Stroke,Stroke,Female,Female,DCO added,DCO added,222.1184285640147,125.9849203990234,112.1661122303393,141.3033173806343,222.1,126.0,112.2,141.3,none,complete,2024-01-31
2012,Stroke,Stroke,Total,Total,DCO added,DCO added,208.7113518393139,137.9141772638837,126.7358587918266,149.9162622494262,208.7,137.9,126.7,149.9,none,complete,2024-01-31
2012,AMI,AMI,Male,Male,Without DCO,Without DCO,68.72073704878417,53.26784998392575,42.84119188337197,65.62624780622866,68.7,53.3,42.8,65.6,none,complete,2024-01-31
2012,AMI,AMI,Total,Total,Without DCO,Without DCO,67.5242608891898,46.49324333306745,39.99095849060126,53.85098446457667,67.5,46.5,40.0,53.9,none,complete,2024-01-31
2012,AMI,AMI,Female,Female,Without DCO,Without DCO,66.42794125278945,40.86182036595123,32.92192472946184,50.40106091819835,66.4,40.9,32.9,50.4,none,complete,2024-01-31
2012,AMI,AMI,Female,Female,DCO added,DCO added,139.0835019980279,80.8620697892961,69.73649372403027,93.52269745439742,139.1,80.9,69.7,93.5,none,complete,2024-01-31
2012,AMI,AMI,Male,Male,DCO added,DCO added,153.3001057242109,119.7236748946459,103.7154342652517,137.6445403551486,153.3,119.7,103.7,137.6,none,complete,2024-01-31
