etype,sex,year2,event,cf1,cf2,cf3,cf4,cf5,ccase,pcase,est,est_lb,est_ub,adj,adj_lb,adj_ub
Stroke,Female,2010-2011,427,299,0,128,0,0,29.976582,29.976582,.2958068,.26257995,.32903364,.2761021,.24508135,.30712286
Stroke,Female,2012-2013,480,332,0,148,0,0,30.833334,30.833334,.33345342,.3011533,.36575353,.31305176,.28276178,.34334174
Stroke,Female,2014-2015,515,366,0,148,0,0,28.737864,28.737864,.3018389,.27093527,.33274254,.28391773,.25493735,.3128981
Stroke,Female,2016-2017,589,382,0,207,0,0,35.144314,35.144314,.34700117,.31680426,.3771981,.32682213,.29833102,.35531321
Stroke,Female,2018-2019,596,383,0,213,0,0,35.738255,35.738255,.33905485,.30958319,.36852652,.31815302,.29055479,.34575126
Stroke,Female,2020-2021,551,353,2,186,1,2,33.756805,33.938293,.32104513,.29085705,.35123318,.30496013,.27650595,.33341429
Stroke,Female,2022-2023,598,351,20,123,40,21,20.568562,27.257524,.3087905,.27935669,.33822432,.28873116,.26129925,.31616306
Stroke,Male,2010-2011,387,285,0,102,0,0,26.356588,26.356588,.26793411,.23615952,.29970869,.28601372,.25388297,.3181445
Stroke,Male,2012-2013,461,309,0,152,0,0,32.971802,32.971802,.30356261,.27250904,.33461615,.32364273,.29258633,.35469911
Stroke,Male,2014-2015,450,319,0,130,0,0,28.888889,28.888889,.2736187,.24381842,.30341899,.29398453,.26377803,.324191
Stroke,Male,2016-2017,518,356,0,161,0,0,31.081081,31.081081,.31647256,.28693089,.3460142,.33763146,.30804554,.36721739
Stroke,Male,2018-2019,576,409,0,167,0,0,28.993055,28.993055,.30889463,.28048271,.33730656,.32882705,.30047965,.35717446
Stroke,Male,2020-2021,541,382,3,142,0,2,26.24769,26.24769,.2917797,.26285619,.32070321,.31541401,.28617138,.34465665
Stroke,Male,2022-2023,595,349,21,128,37,24,21.512606,27.731092,.28018117,.25218686,.30817547,.29889044,.27083606,.32694483
AMI,Female,2022-2023,105,85,0,20,0,0,19.047619,19.047619,.16777828,.11630817,.21924838,.16434602,.1145082,.21418384
AMI,Female,2010-2011,160,120,0,40,0,0,25,25,.22657838,.17758113,.27557564,.21215576,.16611595,.25819555
AMI,Female,2012-2013,209,149,0,60,0,0,28.708134,28.708134,.29424027,.24686147,.34161907,.27088425,.22657976,.31518874
AMI,Female,2014-2015,226,180,0,46,0,0,20.353983,20.353983,.22171006,.18049012,.26292998,.20639113,.1678153,.24496697
AMI,Female,2016-2017,257,188,0,69,0,0,26.848249,26.848249,.28242487,.24001262,.32483712,.25577316,.21648808,.29505822
AMI,Female,2018-2019,214,147,1,61,3,1,28.504673,29.906542,.31822914,.27098972,.36546856,.29240745,.24801823,.33679667
AMI,Female,2020-2021,210,111,2,56,22,6,26.666666,37.142857,.3612287,.31096908,.41148829,.33740568,.28973454,.38507685
AMI,Male,2022-2023,140,125,0,15,0,0,10.714286,10.714286,.12416629,.084157921,.16417466,.14362605,.098700203,.18855189
AMI,Male,2010-2011,180,153,0,27,0,0,15,15,.17081922,.13087761,.21076082,.18689559,.14461799,.2291732
AMI,Male,2012-2013,236,181,0,55,0,0,23.305084,23.305084,.22671095,.18645364,.26696825,.24094394,.19958545,.28230241
AMI,Male,2014-2015,269,220,0,49,0,0,18.215614,18.215614,.16689044,.13350537,.2002755,.18164353,.14634569,.21694137
AMI,Male,2016-2017,311,240,0,71,0,0,22.829582,22.829582,.21677431,.18132138,.25222725,.22694299,.19088008,.26300591
AMI,Male,2018-2019,278,199,1,69,2,1,24.820145,25.539568,.24712203,.2071645,.28707957,.26099822,.22029407,.30170238
AMI,Male,2020-2021,276,180,5,52,14,5,18.84058,23.913044,.28452322,.24109398,.3279525,.3033514,.25923285,.34746996
