etype,sex,year,rateadj0,rateadj1
Stroke,female,2010,95.22107528394432,129.8496684490071
Stroke,female,2011,86.95546423723086,123.9554847073153
Stroke,female,2012,83.95837064708488,125.9849203990234
Stroke,female,2013,115.8445346025665,148.1621368813434
Stroke,female,2014,106.6020394396615,126.5074844318548
Stroke,female,2015,102.4415642539457,123.9921518551216
Stroke,female,2016,122.325344074944,154.4077368890866
Stroke,female,2017,113.4629758298394,134.0962997360257
Stroke,female,2018,107.6509572989069,134.917728278361
Stroke,female,2019,119.0917003034236,144.1067785803204
Stroke,female,2020,110.1012274116311,136.2459339427595
Stroke,female,2021,98.03239321958435,126.9475467962004
Stroke,female,2022,106.1756868524164,136.0172307234172
Stroke,female,2023,111.8957584137626,140.9977669941586
Stroke,male,2010,122.9362034089707,158.394340007861
Stroke,male,2011,109.3085073943427,155.3678741286371
Stroke,male,2012,114.5591101876761,150.3759183470155
Stroke,male,2013,153.2996789949222,188.3604277523748
Stroke,male,2014,125.330964685123,151.6928803784971
Stroke,male,2015,126.4036046961164,147.3629208052294
Stroke,male,2016,141.2105044764019,178.6943358810202
Stroke,male,2017,137.7889929539516,161.5281642975198
Stroke,male,2018,143.0913043428623,171.9914209026749
Stroke,male,2019,152.2062071499426,183.1048323440316
Stroke,male,2020,139.3940110249097,169.2885156009286
Stroke,male,2021,133.0451041286265,166.8717204803742
Stroke,male,2022,135.5505191398752,187.1214342774145
Stroke,male,2023,153.9648280298717,197.8576495064347
Stroke,both,2010,108.1913188786487,143.7644233562593
Stroke,both,2011,97.05979007455473,138.7541265825785
Stroke,both,2012,97.49631427419128,137.9141772638837
Stroke,both,2013,132.4310348716456,165.7643890585445
Stroke,both,2014,115.2944808349511,137.4194431406693
Stroke,both,2015,113.8466164557448,135.5038216463873
Stroke,both,2016,131.8520890616882,166.1648081817374
Stroke,both,2017,124.3526264777694,146.6979877463404
Stroke,both,2018,124.2467056148878,152.4328094642991
Stroke,both,2019,135.1400033676154,162.501723875406
Stroke,both,2020,124.3044554319663,152.2967232405502
Stroke,both,2021,113.5852422436619,144.7094045270133
Stroke,both,2022,119.5777561015874,158.7171615823138
Stroke,both,2023,130.3501872062091,166.4764486698606
AMI,female,2010,26.75184202337277,73.47882739794026
AMI,female,2011,20.73646207799784,50.7496704331015
AMI,female,2012,40.86182036595123,80.86206978929609
AMI,female,2013,27.90045463538563,64.06390384293277
AMI,female,2014,44.404040284993,72.28720220218993
AMI,female,2015,40.4361693773815,60.61117807054843
AMI,female,2016,38.26978484952755,70.59389032473781
AMI,female,2017,52.75596810828779,81.18900252237805
AMI,female,2018,40.85685773962669,77.83734907328075
AMI,female,2019,55.3585823691777,97.62116841251415
AMI,female,2020,45.543953356423,91.14145817102033
AMI,female,2021,34.016850240944,76.49492208525297
AMI,female,2022,38.83014412001151,87.94867251057913
AMI,female,2023,38.43696779823071,89.9231405166835
AMI,male,2010,39.87198621534205,100.2599160472321
AMI,male,2011,44.35043931181075,101.0018207927442
AMI,male,2012,53.26784998392577,119.723674894646
AMI,male,2013,51.63242359260592,111.5227289132213
AMI,male,2014,70.39636618970989,124.0287372931417
AMI,male,2015,63.09685000160034,95.25325376013041
AMI,male,2016,67.29840296203986,136.0913842781499
AMI,male,2017,77.91092295868479,134.6241398568128
AMI,male,2018,79.96210067629868,142.288370931198
AMI,male,2019,82.51183905874778,140.5376800600694
AMI,male,2020,84.74657553274776,146.6260823907928
AMI,male,2021,57.16647908257449,121.9650498631947
AMI,male,2022,65.485466952983,153.9437922674662
AMI,male,2023,67.99505241188191,144.7701714260257
AMI,both,2010,32.85915690552349,85.93946563238552
AMI,both,2011,31.537693052799,73.06141617994747
AMI,both,2012,46.49324333306745,98.37207799599595
AMI,both,2013,38.30825489503252,84.39511272082949
AMI,both,2014,56.09852389363273,95.2033787910331
AMI,both,2015,51.21462084378386,76.65063062780069
AMI,both,2016,51.79532335089624,100.5318258254331
AMI,both,2017,64.27742015244156,104.9367500158274
AMI,both,2018,58.27536898234039,106.8477281211683
AMI,both,2019,68.35782478583205,118.1014566097386
AMI,both,2020,62.98770294419463,116.7731476771192
AMI,both,2021,44.77428340688309,97.26958746214657
AMI,both,2022,50.91059513311728,116.482951648848
AMI,both,2023,52.32590356390452,115.5663572633009
