manual,page,path,manual_review_status,status_source
Public Methods Manual,Public Methods Manual,site/methods/index.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,About BNR surveillance,site/methods/about/index.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,About BNR surveillance,site/methods/about/bnr-surveillance.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,From records to statistics,site/methods/about/records-to-statistics-index.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,From health records to published statistics,site/methods/about/records-to-statistics.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,What BNR reports,site/methods/measures/index.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Number of CVD events,site/methods/measures/cvd-event-counts.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,CVD event rates,site/methods/measures/incidence.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,CVD mortality,site/methods/measures/mortality.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Hypertension measures,site/methods/measures/hypertension.qmd,not-used,Page YAML
Public Methods Manual,Diabetes measures,site/methods/measures/diabetes.qmd,not-used,Page YAML
Public Methods Manual,CVD case fatality,site/methods/measures/case-fatality.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Hospital length of stay,site/methods/measures/length-of-stay.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Interpreting the measures,site/methods/interpretation/index.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,"Counts, percentages and rates",site/methods/interpretation/counts-percentages-rates.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,How CVD events are classified,site/methods/interpretation/classifying-cvd-events.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,How CVD deaths are classified,site/methods/interpretation/classifying-cvd-deaths.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Quality and confidentiality,site/methods/interpretation/quality-confidentiality-index.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Data quality and completeness,site/methods/interpretation/data-quality-completeness.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Protecting confidentiality,site/methods/interpretation/confidentiality.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,"Releases, revisions and comparability",site/methods/interpretation/revisions-comparability.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Reference and data access,site/methods/reference/index.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Glossary,site/methods/reference/glossary.qmd,reviewed-by-irh,Page YAML
Public Methods Manual,Research data access,site/methods/responsible-data-use/research-data-access.qmd,reviewed-by-irh,Page YAML
Operations Manual,Operations Manual,site/operations/index.qmd,reviewed-by-irh,Page YAML
Operations Manual,How the registry works,site/operations/operating-model/section-index.qmd,reviewed-by-irh,Page YAML
Operations Manual,Roles and decision rights,site/operations/operating-model/roles-decision-rights.qmd,reviewed-by-irh,Page YAML
Operations Manual,From cases to statistics,site/operations/operating-model/routine-cycle.qmd,reviewed-by-irh,Page YAML
Operations Manual,BNR operations continuity,site/operations/operating-model/records-handover.qmd,reviewed-by-irh,Page YAML
