origin_path,origin_page,origin_summary,link_context,line,link_text,link_target,destination_path,destination_page,destination_summary,status,link_works,destination_appropriate,note
site/methods/about/bnr-surveillance.qmd,About BNR surveillance,What the Barbados National Registry monitors and to interpret our surveillance statistics.,Related pages,45,From health records to published statistics,records-to-statistics.qmd,site/methods/about/records-to-statistics.qmd,From health records to published statistics,A plain-language overview of the BNR statistical production pathway.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/about/bnr-surveillance.qmd,About BNR surveillance,What the Barbados National Registry monitors and to interpret our surveillance statistics.,Related pages,46,Measures overview,../measures/index.qmd,site/methods/measures/index.qmd,Measures overview,The measures explained in the BNR Public Methods Manual.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/about/bnr-surveillance.qmd,About BNR surveillance,What the Barbados National Registry monitors and to interpret our surveillance statistics.,Related pages,47,Data quality and completeness,../interpretation/data-quality-completeness.qmd,site/methods/interpretation/data-quality-completeness.qmd,Data quality and completeness,How data quality affects BNR statistics and their interpretation.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/about/records-to-statistics.qmd,From health records to published statistics,A plain-language overview of the BNR statistical production pathway.,Related pages,50,How CVD events are classified,../interpretation/classifying-cvd-events.qmd,site/methods/interpretation/classifying-cvd-events.qmd,How CVD events are classified,"How BNR applies consistent event, source, residence and period rules.",exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/about/records-to-statistics.qmd,From health records to published statistics,A plain-language overview of the BNR statistical production pathway.,Related pages,51,Data quality and completeness,../interpretation/data-quality-completeness.qmd,site/methods/interpretation/data-quality-completeness.qmd,Data quality and completeness,How data quality affects BNR statistics and their interpretation.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/about/records-to-statistics.qmd,From health records to published statistics,A plain-language overview of the BNR statistical production pathway.,Related pages,52,"Releases, revisions and comparability",../interpretation/revisions-comparability.qmd,site/methods/interpretation/revisions-comparability.qmd,"Releases, revisions and comparability",How to compare BNR statistics across releases and periods.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,About BNR surveillance,25,Open section,about/bnr-surveillance.qmd,site/methods/about/bnr-surveillance.qmd,About BNR surveillance,What the Barbados National Registry monitors and to interpret our surveillance statistics.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,From records to statistics,41,Open section,about/records-to-statistics.qmd,site/methods/about/records-to-statistics.qmd,From health records to published statistics,A plain-language overview of the BNR statistical production pathway.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,What BNR reports,57,Open section,measures/index.qmd,site/methods/measures/index.qmd,Measures overview,The measures explained in the BNR Public Methods Manual.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,"Counts, percentages and rates",73,Open section,interpretation/counts-percentages-rates.qmd,site/methods/interpretation/counts-percentages-rates.qmd,"Counts, percentages and rates",How to choose and interpret common forms of BNR statistics.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,Quality and confidentiality,89,Open section,interpretation/data-quality-completeness.qmd,site/methods/interpretation/data-quality-completeness.qmd,Data quality and completeness,How data quality affects BNR statistics and their interpretation.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,Plain-language glossary,105,Open section,reference/glossary.qmd,site/methods/reference/glossary.qmd,Glossary,Plain-language definitions of terms used in BNR publications.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,What this manual covers,123,Operations Manual,../operations/index.qmd,site/operations/index.qmd,Operations Manual,"How the Barbados National Registry carries out, governs and records its routine work.",exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,What this manual covers,124,Technical Manual,../technical/index.qmd,site/technical/index.qmd,BNR Technical Manual,"Run, validate, troubleshoot, recover and maintain the implemented BNR analytical and publication system.",exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,Go to the statistics,130,Latest BNR publications,../news/index.qmd,site/news/index.qmd,Latest Surveillance Outputs,Latest public outputs from the Barbados National Registry Information Hub.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,Go to the statistics,131,Data downloads,../downloads/index.qmd,site/downloads/index.qmd,Data Downloads,Approved Barbados National Registry public output packages.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/interpretation/classifying-cvd-deaths.qmd,How CVD deaths are classified,How BNR uses death-certificate information to create practical cardiovascular mortality classifications.,Related measures,88,CVD mortality,../measures/mortality.qmd,site/methods/measures/mortality.qmd,CVD mortality,How BNR counts and describes deaths classified as cardiovascular disease.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/interpretation/classifying-cvd-deaths.qmd,How CVD deaths are classified,How BNR uses death-certificate information to create practical cardiovascular mortality classifications.,Related measures,89,How CVD events are classified,classifying-cvd-events.qmd,site/methods/interpretation/classifying-cvd-events.qmd,How CVD events are classified,"How BNR applies consistent event, source, residence and period rules.",exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/interpretation/classifying-cvd-deaths.qmd,How CVD deaths are classified,How BNR uses death-certificate information to create practical cardiovascular mortality classifications.,Related measures,90,"Releases, revisions and comparability",revisions-comparability.qmd,site/methods/interpretation/revisions-comparability.qmd,"Releases, revisions and comparability",How to compare BNR statistics across releases and periods.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/interpretation/classifying-cvd-events.qmd,How CVD events are classified,"How BNR applies consistent event, source, residence and period rules.",Related measures,55,Number of CVD events,../measures/cvd-event-counts.qmd,site/methods/measures/cvd-event-counts.qmd,Number of CVD events,How BNR reports hospital-registered and approved annual DCO-enhanced cardiovascular event counts.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/interpretation/classifying-cvd-events.qmd,How CVD events are classified,"How BNR applies consistent event, source, residence and period rules.",Related measures,56,CVD incidence and event rates,../measures/incidence.qmd,site/methods/measures/incidence.qmd,CVD incidence and event rates,How BNR relates eligible CVD events to the Barbados population.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/interpretation/classifying-cvd-events.qmd,How CVD events are classified,"How BNR applies consistent event, source, residence and period rules.",Related measures,57,"Releases, revisions and comparability",revisions-comparability.qmd,site/methods/interpretation/revisions-comparability.qmd,"Releases, revisions and comparability",How to compare BNR statistics across releases and periods.,exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/interpretation/confidentiality.qmd,Protecting confidentiality,How BNR reduces disclosure risk in public statistics.,Related measures,55,Research data access,../responsible-data-use/research-data-access.qmd,site/methods/responsible-data-use/research-data-access.qmd,Research data access,"How researchers can request access to restricted, de-identified BNR data.",exists,Yes — local target exists,Not assessed,Local target exists.
site/methods/interpretation/confidentiality.qmd,Protecting confidentiality,How BNR reduces disclosure risk in public statistics.,Related measures,56,Research Data Sharing Agreement,../responsible-data-use/dsa-methods.qmd,site/methods/responsible-data-use/dsa-methods.qmd,Research Data Sharing Agreement,"Public-facing BNR Research Data Sharing Agreement for approved access to restricted, de-identified registry data.",exists,Yes — local target exists,Not assessed,Local target exists.
