comparison_order,comparison_type,comparison_label,period_start_year,period_end_year,rate_ratio,lower_95,upper_95,display_ratio,display_lower,display_upper,suppression_status,coverage_end
1,Event type,Stroke vs AMI,,,2.340575035188154,2.270382040005079,2.413072247388846,2.34,2.27,2.41,none,2024-01-31
2,Sex,CVD in men vs women,,,1.387004762280169,1.333050047833602,1.44308584009773,1.39,1.33,1.44,none,2024-01-31
12,Two-year period,AMI 2012-2013 vs 2010-2011,2012,2013,1.316568009828184,1.168093247432048,1.484676760634952,1.32,1.17,1.48,none,2024-01-31
13,Two-year period,AMI 2014-2015 vs 2010-2011,2014,2015,1.669225427091159,1.490299461801698,1.871111016736671,1.67,1.49,1.87,none,2024-01-31
14,Two-year period,AMI 2016-2017 vs 2010-2011,2016,2017,1.805134682869628,1.614973897428083,2.019489282725988,1.81,1.61,2.02,none,2024-01-31
15,Two-year period,AMI 2018-2019 vs 2010-2011,2018,2019,1.970953499837638,1.767692862430312,2.19985775836262,1.97,1.77,2.20,none,2024-01-31
16,Two-year period,AMI 2020-2021 vs 2010-2011,2020,2021,1.673317123046965,1.496599376953748,1.872724689910291,1.67,1.50,1.87,none,2024-01-31
17,Two-year period,AMI 2022-2023 vs 2010-2011,2022,2023,1.605078203407843,1.434940192060888,1.797180931271133,1.61,1.43,1.80,none,2024-01-31
32,Two-year period,Stroke 2012-2013 vs 2010-2011,2012,2013,1.121844808786535,1.048009187791416,1.200973849784668,1.12,1.05,1.20,none,2024-01-31
33,Two-year period,Stroke 2014-2015 vs 2010-2011,2014,2015,1.116376121861525,1.043251967099616,1.194744935151201,1.12,1.04,1.19,none,2024-01-31
34,Two-year period,Stroke 2016-2017 vs 2010-2011,2016,2017,1.245198976264708,1.16591760608592,1.330072319859262,1.25,1.17,1.33,none,2024-01-31
35,Two-year period,Stroke 2018-2019 vs 2010-2011,2018,2019,1.264480175121101,1.184921491062753,1.349639872704505,1.26,1.18,1.35,none,2024-01-31
36,Two-year period,Stroke 2020-2021 vs 2010-2011,2020,2021,1.158771345899323,1.084566490718097,1.238268198890098,1.16,1.08,1.24,none,2024-01-31
37,Two-year period,Stroke 2022-2023 vs 2010-2011,2022,2023,1.217708809825189,1.141118925218826,1.299724907275901,1.22,1.14,1.30,none,2024-01-31
