period_number,period_start_year,period_end_year,etype,event_group,sex,sex_group,confirmed_cf_percent,display_percent,suppression_status,coverage_end
1,2010,2011,Stroke,Stroke,Female,Female,29.97658079625293,30.0,none,2024-01-31
1,2010,2011,Stroke,Stroke,Male,Male,26.35658914728683,26.4,none,2024-01-31
1,2010,2011,AMI,AMI,Female,Female,19.04761904761905,19.0,none,2024-01-31
1,2010,2011,AMI,AMI,Male,Male,10.71428571428571,10.7,none,2024-01-31
2,2012,2013,Stroke,Stroke,Female,Female,30.83333333333334,30.8,none,2024-01-31
2,2012,2013,Stroke,Stroke,Male,Male,32.97180043383948,33.0,none,2024-01-31
2,2012,2013,AMI,AMI,Female,Female,25,25.0,none,2024-01-31
2,2012,2013,AMI,AMI,Male,Male,15,15.0,none,2024-01-31
3,2014,2015,Stroke,Stroke,Female,Female,28.7378640776699,28.7,none,2024-01-31
3,2014,2015,Stroke,Stroke,Male,Male,28.88888888888889,28.9,none,2024-01-31
3,2014,2015,AMI,AMI,Female,Female,28.70813397129186,28.7,none,2024-01-31
3,2014,2015,AMI,AMI,Male,Male,23.30508474576271,23.3,none,2024-01-31
4,2016,2017,Stroke,Stroke,Female,Female,35.14431239388794,35.1,none,2024-01-31
4,2016,2017,Stroke,Stroke,Male,Male,31.08108108108108,31.1,none,2024-01-31
4,2016,2017,AMI,AMI,Female,Female,20.35398230088496,20.4,none,2024-01-31
4,2016,2017,AMI,AMI,Male,Male,18.21561338289963,18.2,none,2024-01-31
5,2018,2019,Stroke,Stroke,Female,Female,35.73825503355705,35.7,none,2024-01-31
5,2018,2019,Stroke,Stroke,Male,Male,28.99305555555556,29.0,none,2024-01-31
5,2018,2019,AMI,AMI,Female,Female,26.84824902723735,26.8,none,2024-01-31
5,2018,2019,AMI,AMI,Male,Male,22.82958199356913,22.8,none,2024-01-31
6,2020,2021,Stroke,Stroke,Female,Female,33.75680580762251,33.8,none,2024-01-31
6,2020,2021,Stroke,Stroke,Male,Male,26.24768946395564,26.2,none,2024-01-31
6,2020,2021,AMI,AMI,Female,Female,28.50467289719626,28.5,none,2024-01-31
6,2020,2021,AMI,AMI,Male,Male,24.82014388489209,24.8,none,2024-01-31
7,2022,2023,Stroke,Stroke,Female,Female,20.5685618729097,20.6,none,2024-01-31
7,2022,2023,Stroke,Stroke,Male,Male,21.51260504201681,21.5,none,2024-01-31
7,2022,2023,AMI,AMI,Female,Female,26.66666666666667,26.7,none,2024-01-31
7,2022,2023,AMI,AMI,Male,Male,18.84057971014493,18.8,none,2024-01-31
