indicator,etype,yoe,los50,los25,los75,los05,los95,nevent,exdays
1,Stroke,2014,6,2,14,1,56,347,0
2,Stroke,2015,5,2,12,0,35,326,-326
3,Stroke,2016,5,1,13,0,32,362,-362
4,Stroke,2017,7,2,16,0,47,373,373
5,Stroke,2018,7,2,18,1,48,397,397
6,Stroke,2019,9,4,20,1,46,389,1167
7,Stroke,2020,7,2,15,1,42,385,385
8,Stroke,2021,8,3,19,1,47,349,698
9,Stroke,2022,10,3,19,1,46,356,1424
10,Stroke,2023,10,4,20,1,48,343,1372
11,AMI,2014,5,4,7,3,23,159,0
12,AMI,2015,6,4,8,3,19,167,167
13,AMI,2016,6,5,8,3,20,179,179
14,AMI,2017,6,4,10,3,24,221,221
15,AMI,2018,6,5,9,3,19,194,194
16,AMI,2019,6,4,9,3,21,234,234
17,AMI,2020,6,4,8,3,18,222,222
18,AMI,2021,6,5,8,3,14,123,123
19,AMI,2022,6,5,9,3,22,134,134
20,AMI,2023,7,5,9,3,15,156,312
