indicator,sex,etype,year2,los50,los25,los75,los05,los95,nevent
1,Female,Both,All years,6,3,13,1,43,4898
2,Male,Both,All years,6,3,13,1,41,4976
4,Both,Stroke,All years,7,2,15,1,48,7065
5,Both,AMI,All years,6,4,9,1,22,2809
7,Both,Stroke,2010-2011,5,1,11,1,51,780
8,Both,Stroke,2012-2013,7,3,15,1,50,929
9,Both,Stroke,2014-2015,6,2,14,1,52,951
10,Both,Stroke,2016-2017,6,2,15,1,45,1101
11,Both,Stroke,2018-2019,7,3,17,1,51,1166
12,Both,Stroke,2020-2021,7,3,17,1,47,1065
13,Both,Stroke,2022-2023,9,3,18,1,46,1072
15,Both,AMI,2010-2011,6,5,9,3,19,201
16,Both,AMI,2012-2013,6,5,9,3,18,279
17,Both,AMI,2014-2015,5,4,8,3,28,339
18,Both,AMI,2016-2017,6,4,9,1,23,496
19,Both,AMI,2018-2019,6,4,9,1,24,568
20,Both,AMI,2020-2021,5,3,8,1,18,481
21,Both,AMI,2022-2023,6,3,9,1,18,445
