metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,source_status,statistic,value,display_value,unit,numerator,denominator,comparison_n,status_flag,sdc_policy,step4_primary_flag,step4_related_flag,previous_release_id,previous_release_found,previous_value,temporal_increment,temporal_check,step5_temporal_flag,step5_complementary_flag,step5_derived_flag,suppression_status,disclosure_note,suppression_note
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_70_plus,hospital_registered,annual_count,294,294,count,294,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,hospital_registered,annual_count,555,555,count,555,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,under_70,hospital_registered,annual_count,261,261,count,261,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,hospital_registered,annual_count,286,286,count,286,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,hospital_registered,annual_count,269,269,count,269,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,ami,all,all,hospital_registered,annual_count,126,126,count,126,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,ami,female,all,hospital_registered,annual_count,60,60,count,60,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,ami,male,all,hospital_registered,annual_count,66,66,count,66,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,stroke,all,all,hospital_registered,annual_count,429,429,count,429,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,stroke,female,all,hospital_registered,annual_count,226,226,count,226,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2010,2010-01-01,2010,,,1,stroke,male,all,hospital_registered,annual_count,203,203,count,203,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,all,age_70_plus,hospital_registered,annual_count,251,251,count,251,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,all,age_70_plus,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,all,all,hospital_registered,annual_count,504,504,count,504,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,all,all,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,all,under_70,hospital_registered,annual_count,253,253,count,253,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,all,under_70,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,female,all,hospital_registered,annual_count,246,246,count,246,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,female,all,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,male,all,hospital_registered,annual_count,258,258,count,258,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,all_cvd,male,all,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,ami,all,all,hospital_registered,annual_count,119,119,count,119,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
