schema_version,metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,source_status,ascertainment_scope,mortality_definition,estimate_basis,statistic,value,unit,numerator,denominator,linkage_lower_value,linkage_upper_value,ci_lower_value,ci_upper_value,ci_level,ci_method,comparison_n,status_flag,method_version,population_source,country_iso3,population_unit,population_extraction_date,population_basis,standard_population,suppression_status,disclosure_note,display_value
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,additional_dco,inclusive,estimated,annual_count,74.36241610738256,count,74.36241610738256,,20,425,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,Approved national aggregate DCO estimate; individual linkage information remains protected.,74.362
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,monthly,2010_m11,2010-11-01,2010,11,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,50,count,50,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,50.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,under_70,hospital_registered,hospital_only,not_applicable,observed,annual_count,261,count,261,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,261.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,monthly,2010_m08,2010-08-01,2010,8,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,39,count,39,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,39.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,monthly,2010_m10,2010-10-01,2010,10,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,42,count,42,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,42.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,annual_count,555,count,555,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,555.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,monthly,2010_m12,2010-12-01,2010,12,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,58,count,58,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,58.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,quarterly,2010_q3,2010-07-01,2010,7,3,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,126,count,126,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,126.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,quarterly,2010_q1,2010-01-01,2010,1,1,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,166,count,166,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,166.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,monthly,2010_m05,2010-05-01,2010,5,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,46,count,46,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,46.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,hospital_plus_dco,primary,estimated,annual_count,614.8723404255319,count,614.8723404255319,,573,901,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,Approved national aggregate DCO estimate; individual linkage information remains protected.,614.872
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,quarterly,2010_q4,2010-10-01,2010,10,4,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,150,count,150,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,150.000
bnr_cvd_public_metric_v2,CVD-BURDEN-002,cvd_2026_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_70_plus,hospital_registered,hospital_only,not_applicable,observed,age_distribution,52.97297297297298,percent,294,555,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,52.973
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,monthly,2010_m02,2010-02-01,2010,2,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,52,count,52,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,52.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,monthly,2010_m07,2010-07-01,2010,7,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,monthly_count,43,count,43,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,43.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,quarterly,2010_q2,2010-04-01,2010,4,2,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,quarterly_count,113,count,113,,,,,,,,,final,,,,,,,,none,No disclosure restriction identified.,113.000
bnr_cvd_public_metric_v2,CVD-BURDEN-001,cvd_2026_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,national_estimate,hospital_plus_dco,inclusive,estimated,annual_count,629.3624161073826,count,629.3624161073826,,575,980,,,,,,final,cvd_rates_v1_1_0,not_applicable,BRB,not_applicable,not_applicable,not_applicable,not_applicable,none,Approved national aggregate DCO estimate; individual linkage information remains protected.,629.362
bnr_cvd_public_metric_v2,CVD-INCIDENCE-001,cvd_2026_01,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,hospital_registered,hospital_only,not_applicable,observed,annual_crude_rate,201.6396390832118,rate_per_100000,555,275243.5,,,185.2107813361237,219.1350601813797,95,poisson_exact_garwood,,final,cvd_rates_v1_1_0,UN_WPP_2024,BRB,persons,2026-08-26,historical_estimate,WHO_WORLD_2000_2025,none,No disclosure restriction identified.,201.640
