metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,case_definition,source_status,statistic,value,display_value,unit,numerator,denominator,comparison_n,status_flag,ci_lower_value,ci_upper_value,ci_level,ci_method,sdc_policy,primary_suppression_threshold,primary_suppression,related_primary_cells,related_suppression_review,suppression_review,suppression_reason,deaths,ci_variance,ci_max_weight,__upper_point,__upper_variance,suppression_status,disclosure_note
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_70_plus,primary_clear_likely,death_certificate,annual_count,352,352,count,352,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,primary_clear_likely,death_certificate,annual_count,469,469,count,469,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,all,under_70,primary_clear_likely,death_certificate,annual_count,117,117,count,117,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,primary_clear_likely,death_certificate,annual_count,261,261,count,261,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,primary_clear_likely,death_certificate,annual_count,208,208,count,208,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,heart,all,all,primary_clear_likely,death_certificate,annual_count,222,222,count,222,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,heart,female,all,primary_clear_likely,death_certificate,annual_count,114,114,count,114,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,heart,male,all,primary_clear_likely,death_certificate,annual_count,108,108,count,108,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,stroke,all,all,primary_clear_likely,death_certificate,annual_count,247,247,count,247,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,stroke,female,all,primary_clear_likely,death_certificate,annual_count,147,147,count,147,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,stroke,male,all,primary_clear_likely,death_certificate,annual_count,100,100,count,100,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,all,age_70_plus,upper_clear_likely_possible,death_certificate,annual_count,390,390,count,390,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,all,all,upper_clear_likely_possible,death_certificate,annual_count,554,554,count,554,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,all,under_70,upper_clear_likely_possible,death_certificate,annual_count,164,164,count,164,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,female,all,upper_clear_likely_possible,death_certificate,annual_count,302,302,count,302,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,all_cvd,male,all,upper_clear_likely_possible,death_certificate,annual_count,252,252,count,252,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,heart,all,all,upper_clear_likely_possible,death_certificate,annual_count,292,292,count,292,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,heart,female,all,upper_clear_likely_possible,death_certificate,annual_count,144,144,count,144,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,heart,male,all,upper_clear_likely_possible,death_certificate,annual_count,148,148,count,148,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,stroke,all,all,upper_clear_likely_possible,death_certificate,annual_count,262,262,count,262,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,stroke,female,all,upper_clear_likely_possible,death_certificate,annual_count,158,158,count,158,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2010,2010-01-01,2010,,,1,stroke,male,all,upper_clear_likely_possible,death_certificate,annual_count,104,104,count,104,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,age_70_plus,primary_clear_likely,death_certificate,annual_count,350,350,count,350,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,age_70_plus,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,all,primary_clear_likely,death_certificate,annual_count,474,474,count,474,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,all,primary_clear_likely,death_certificate,annual_previous_5yr_mean,,,count,,,1,insufficient_history,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
MORT-BURDEN-001,mort_2026_07,annual,2011,2011-01-01,2011,,,1,all_cvd,all,under_70,primary_clear_likely,death_certificate,annual_count,124,124,count,124,,,final,,,,,bnr_sdc_v1,6,0,0,0,0,,,,,,,none,No disclosure restriction identified.
