reference_id,case_definition,event_type,sex,age_group,period_month,reference_start_year,reference_end_year,reference_n,reference_min,reference_max,reference_mean,source_release_id,reference_method
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,1,2015,2019,5,33,53,45.6,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,2,2015,2019,5,32,46,40.2,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,3,2015,2019,5,28,51,41,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,4,2015,2019,5,29,49,41,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,5,2015,2019,5,27,44,39,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,6,2015,2019,5,34,43,38.8,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,7,2015,2019,5,22,46,35.2,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,8,2015,2019,5,27,57,39.6,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,9,2015,2019,5,27,50,39,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,10,2015,2019,5,26,54,39.8,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,11,2015,2019,5,31,45,38.2,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,primary_clear_likely,all_cvd,all,all,12,2015,2019,5,25,54,37,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,1,2015,2019,5,47,63,57.4,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,2,2015,2019,5,39,56,50.8,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,3,2015,2019,5,42,57,50.6,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,4,2015,2019,5,41,57,52,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,5,2015,2019,5,38,56,48.2,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,6,2015,2019,5,46,52,49.4,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,7,2015,2019,5,37,53,45.8,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,8,2015,2019,5,42,66,48.6,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,9,2015,2019,5,37,58,49.2,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,10,2015,2019,5,41,66,50.6,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,11,2015,2019,5,42,50,46.4,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
mortality_monthly_reference_2015_2019,upper_clear_likely_possible,all_cvd,all,all,12,2015,2019,5,35,62,47,mort_2026_07,"Same calendar-month minimum, maximum and mean from 2015-2019"
